state,player,mcts_distribution
"[1, 2, 0, 4]",-1,"[('1000', 0.37142857142857144), ('0100', 0.14285714285714285), ('0200', 0.05714285714285714), ('0001', 0.08571428571428572), ('0002', 0.05714285714285714), ('0003', 0.22857142857142856), ('0004', 0.05714285714285714)]"
"[0, 2, 0, 4]",1,"[('0100', 0.4), ('0200', 0.06666666666666667), ('0001', 0.26666666666666666), ('0002', 0.06666666666666667), ('0003', 0.06666666666666667), ('0004', 0.13333333333333333)]"
"[0, 1, 0, 4]",-1,"[('0100', 0.2), ('0001', 0.2), ('0002', 0.2), ('0003', 0.2), ('0004', 0.2)]"
"[1, 2, 3, 4]",1,"[('1000', 0.05025125628140704), ('0100', 0.09045226130653267), ('0200', 0.035175879396984924), ('0010', 0.01507537688442211), ('0020', 0.07537688442211055), ('0030', 0.035175879396984924), ('0001', 0.02512562814070352), ('0002', 0.24120603015075376), ('0003', 0.3417085427135678), ('0004', 0.09045226130653267)]"
"[1, 2, 3, 1]",-1,"[('1000', 0.19117647058823528), ('0100', 0.17647058823529413), ('0200', 0.029411764705882353), ('0010', 0.08823529411764706), ('0020', 0.16176470588235295), ('0030', 0.1323529411764706), ('0001', 0.22058823529411764)]"
"[1, 2, 3, 0]",1,"[('1000', 0.08695652173913043), ('0100', 0.34782608695652173), ('0200', 0.08695652173913043), ('0010', 0.17391304347826086), ('0020', 0.13043478260869565), ('0030', 0.17391304347826086)]"
"[1, 1, 3, 0]",-1,"[('1000', 0.058823529411764705), ('0100', 0.058823529411764705), ('0010', 0.23529411764705882), ('0020', 0.5882352941176471), ('0030', 0.058823529411764705)]"
"[1, 1, 1, 0]",1,"[('1000', 0.3333333333333333), ('0100', 0.3333333333333333), ('0010', 0.3333333333333333)]"
"[0, 1, 1, 0]",-1,"[('0100', 0.5), ('0010', 0.5)]"
"[1, 2, 3, 4]",1,"[('1000', 0.10344827586206896), ('0100', 0.02586206896551724), ('0200', 0.06896551724137931), ('0010', 0.3103448275862069), ('0020', 0.12931034482758622), ('0030', 0.02586206896551724), ('0001', 0.12931034482758622), ('0002', 0.02586206896551724), ('0003', 0.05172413793103448), ('0004', 0.12931034482758622)]"
"[1, 2, 2, 4]",-1,"[('1000', 0.12396694214876033), ('0100', 0.03305785123966942), ('0200', 0.09090909090909091), ('0010', 0.01652892561983471), ('0020', 0.12396694214876033), ('0001', 0.23140495867768596), ('0002', 0.21487603305785125), ('0003', 0.03305785123966942), ('0004', 0.1322314049586777)]"
"[1, 2, 2, 3]",1,"[('1000', 0.46564885496183206), ('0100', 0.06870229007633588), ('0200', 0.05343511450381679), ('0010', 0.06870229007633588), ('0020', 0.03816793893129771), ('0001', 0.03816793893129771), ('0002', 0.24427480916030533), ('0003', 0.022900763358778626)]"
"[0, 2, 2, 3]",-1,"[('0100', 0.30434782608695654), ('0200', 0.30434782608695654), ('0010', 0.043478260869565216), ('0020', 0.08695652173913043), ('0001', 0.08695652173913043), ('0002', 0.13043478260869565), ('0003', 0.043478260869565216)]"
"[0, 1, 2, 3]",1,"[('0100', 0.2727272727272727), ('0010', 0.09090909090909091), ('0020', 0.09090909090909091), ('0001', 0.09090909090909091), ('0002', 0.09090909090909091), ('0003', 0.36363636363636365)]"
"[0, 1, 2, 0]",-1,"[('0100', 0.5), ('0010', 0.25), ('0020', 0.25)]"
"[1, 2, 3, 4]",1,"[('1000', 0.1711229946524064), ('0100', 0.053475935828877004), ('0200', 0.0427807486631016), ('0010', 0.0427807486631016), ('0020', 0.0427807486631016), ('0030', 0.06951871657754011), ('0001', 0.16042780748663102), ('0002', 0.016042780748663103), ('0003', 0.36363636363636365), ('0004', 0.0374331550802139)]"
"[1, 2, 3, 1]",-1,"[('1000', 0.03488372093023256), ('0100', 0.16279069767441862), ('0200', 0.13953488372093023), ('0010', 0.08139534883720931), ('0020', 0.10465116279069768), ('0030', 0.10465116279069768), ('0001', 0.37209302325581395)]"
"[1, 2, 3, 0]",1,"[('1000', 0.4117647058823529), ('0100', 0.058823529411764705), ('0200', 0.058823529411764705), ('0010', 0.17647058823529413), ('0020', 0.058823529411764705), ('0030', 0.23529411764705882)]"
"[0, 2, 3, 0]",-1,"[('0100', 0.15384615384615385), ('0200', 0.23076923076923078), ('0010', 0.23076923076923078), ('0020', 0.23076923076923078), ('0030', 0.15384615384615385)]"
